"","outcome","prop","prop1.1","prop1.2","prop1.3","prop1.5"
"1",1,0.257315842583249,0.239526582754086,0.224037954665261,0.2104307641525,0.187637969094923
"2",2,0.0776992936427851,0.0745996354311727,0.0716513933931644,0.0688659465398526,0.0637819476032976
"3",3,0.0686175580221998,0.0667898850430051,0.0649309188005722,0.0630811032253051,0.059501187071698
"4",4,0.0864446686848301,0.0853835831315901,0.0841022775522106,0.0826761565590325,0.0795908233273745
"5",5,0.0918264379414733,0.0922513096689453,0.0922777039126062,0.0919967483134705,0.0907789339404036
"6",6,0.0790447359569458,0.0807228669421161,0.0819753706518047,0.0828760077165251,0.0838515030692922
"7",7,0.133198789101917,0.138855462716251,0.14376909899298,0.148029935724829,0.154894232416342
"8",8,0.0854355869492096,0.0909879303617568,0.0961530025858256,0.100959062998975,0.109595383172101
"9",9,0.12041708711739,0.130882743951077,0.141102279445576,0.15108427476951,0.170368020304569
